time,type,collection_id,priority
571244456538,0,281336019053,100
227106662371,0,278200087203,100
562877311487,0,281295191413,100
334849653315,0,279371105033,100
341949819438,0,279377724870,100
414118522388,0,280164088494,100
428204010508,0,280277272779,100
356525966771,0,279429190733,100
303519398795,0,279095906584,100
210754043958,0,277937650373,100
482931569441,0,280817166811,100
407338336252,0,280139949104,100
306172656460,0,279136748965,100
565100017267,0,281299303125,100
457213563403,0,280504373092,100
47123762367,0,276565938141,100
233715726574,0,278265778582,100
38647550366,0,276503374129,100
428534003660,0,280277481460,100
543501052700,0,281177057154,100
215751455730,0,278028310384,100
97507021034,0,276784420923,100
111947334778,0,277056121123,100
75576449876,0,276722222167,100
203674232439,0,277802279091,100
356989998814,0,279431628116,100
378141099746,0,279774878155,100
104104022482,0,276827198250,100
595757613154,0,281520936002,100
104647976264,0,276830008199,100
269935567473,0,278484688346,100
464506049258,0,280618672698,100
97632294202,0,276784525407,100
125438191828,0,277127008905,100
198731267383,0,277727338287,100
584667353475,0,281443269898,100
35364787948,0,276477041250,100
97559138025,0,276784471066,100
25384815387,0,276419597730,100
570659851669,0,281335685215,100
464347542278,0,280617569760,100
217614750215,0,278052761348,100
564997633367,0,281299212810,100
299805104105,0,279018366929,100
69007306221,0,276692338556,100
584476184057,0,281443147208,100
420891712288,0,280247876124,100
449692797223,0,280425088147,100
126368092667,0,277127878607,100
184331702058,0,277472871719,100
363759377581,0,279536205862,100
241342977843,0,278306862753,100
356494601739,0,279429170840,100
148451306655,0,277275812519,100
25017840587,0,276417435465,100
571247041489,2,281336019053,100
227117595020,2,278200087203,100
562883395171,2,281295191413,100
334902291504,2,279371105033,100
341981189280,2,279377724870,100
414118522430,2,280164088494,100
428204010550,2,280277272779,100
356525966813,2,279429190733,100
303535743199,2,279095906584,100
210754044000,2,277937650373,100
482947389950,2,280817166811,100
407338336294,2,280139949104,100
306172656502,2,279136748965,100
565142167970,2,281299303125,100
457239182768,2,280504373092,100
47123762409,2,276565938141,100
233715726616,2,278265778582,100
38690084608,2,276503374129,100
428561644722,2,280277481460,100
543519482363,2,281177057154,100
215757487013,2,278028310384,100
97534049756,2,276784420923,100
