time,type,collection_id,priority,instance_index,resource_request.cpus,resource_request.memory
116009823021,8,260384711820,200,3,0.114501953125,0.011932373046875
283211812846,8,6315539196,103,450,0.05987548828125,0.016937255859375
472958254803,8,6315539196,103,450,0.05987548828125,0.016937255859375
512956470938,8,6315539196,103,450,0.05987548828125,0.016937255859375
0,8,9907099811,200,13,0.01141357421875,0.005706787109375
0,8,9907099811,200,13,0.01141357421875,0.005706787109375
326785059887,8,110141467526,200,138,0.017608642578125,0.0042877197265625
491366367690,8,6863457189,200,27,0.00440216064453125,0.00547027587890625
451340025894,8,113314122391,200,3,0.00440216064453125,0.006500244140625
25697455884,5,110141467526,200,407,0.017608642578125,0.0042877197265625
32639060300,5,110141467526,200,407,0.017608642578125,0.0042877197265625
73874902478,5,110141467526,200,407,0.017608642578125,0.0042877197265625
526107046090,8,11027259710,200,485,0.001918792724609375,0.003894805908203125
169932728317,8,79136489,200,33,0.02130126953125,0.00771331787109375
261356638796,8,221049983013,200,51,0.114501953125,0.0616455078125
572982084256,8,6928730916,200,77,0.229248046875,0.03424072265625
438467103949,8,2336581092,200,233,0.05987548828125,0.0234375
434126162459,8,2336581092,200,229,0.05987548828125,0.0234375
29250262212,8,9907050679,200,743,0.00116729736328125,0.00569915771484375
421041431422,8,1976875595,200,78,0.04400634765625,0.00640869140625
369104928566,6,279575988536,200,0,0.0005283355712890625,0.0011768341064453125
262722401175,8,9907075218,200,189,0.020721435546875,0.001068115234375
569316199151,8,9907075218,200,189,0.020721435546875,0.001068115234375
446856153890,8,110141467526,200,261,0.017608642578125,0.0042877197265625
475147737144,8,126709616363,200,42,0.0016117095947265625,0.002590179443359375
578973754847,5,9907081267,200,5,0.03143310546875,0.002590179443359375
579019668028,5,9907081267,200,5,0.03143310546875,0.002590179443359375
255092048546,8,6315539196,103,247,0.05987548828125,0.016937255859375
287429171517,8,6315539196,103,247,0.05987548828125,0.016937255859375
584468843838,8,273953075634,200,0,0.0572509765625,0.0670166015625
188733770305,5,9907127672,200,53,0.008026123046875,0.002590179443359375
510851640108,8,10990102952,200,232,0.0007085800170898438,0.00125885009765625
193455060128,8,277568180797,360,0,0.006866455078125,0.00016307830810546875
0,8,11027259710,200,761,0.001918792724609375,0.003894805908203125
77151781432,8,110141467526,200,245,0.017608642578125,0.0042877197265625
77161911120,8,110141467526,200,245,0.017608642578125,0.0042877197265625
523243405827,8,110141467526,200,245,0.017608642578125,0.0042877197265625
0,8,110141467526,200,245,0.017608642578125,0.0042877197265625
245348291239,8,110128232045,200,19,0.017608642578125,0.0042877197265625
576057154199,8,110128232045,200,19,0.017608642578125,0.0042877197265625
527759087698,8,2336581092,200,4,0.05987548828125,0.0234375
106182832091,8,9907040432,200,167,0.0156097412109375,0.0130157470703125
405988612945,8,9907050679,200,703,0.00116729736328125,0.00569915771484375
578086290442,8,9907050679,200,703,0.00116729736328125,0.00569915771484375
177473050581,8,248938956221,200,0,0.0572509765625,0.0147247314453125
315681256769,8,9907127931,200,235,0.002582550048828125,0.0018939971923828125
145015165341,8,277163253283,119,0,0.023590087890625,0.002635955810546875
74944275644,8,261051063549,200,1,0.0572509765625,0.0141143798828125
460015505356,8,9907127931,200,17,0.002582550048828125,0.0018939971923828125
408787882823,8,261383522801,200,2,0.0880126953125,0.011932373046875
267534224975,5,9907127672,200,182,0.008026123046875,0.002590179443359375
492597724781,8,233117533324,200,0,0.00759124755859375,0.0013027191162109375
584077257462,8,233117533324,200,0,0.00759124755859375,0.0013027191162109375
431359868321,8,260491331078,103,52,0.09716796875,0.002716064453125
